gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
A2391082,5,151.5,2,14,8,150,544,46,5,0,5,0,0.129,182,950,9.476145834,12.55291667,13.58410814,17.51239583,0.00993301,0.004724544,11.48555556,12.71847222,12.635,20.3525
A2391085,23.13855422,289.3,2,30,7,148,601,48,0,3,13,0,1.248,195,950,0.16,19.379375,20.068337,31.3414558,0.01982047,0.008809352,11.10638889,12.51145833,11.855,18.395
A2391086,23.69369369,2623.5,4,35,6,146,559,44,1,0,23,0,2.285,227,950,0.07,16.275625,16.45284864,18.49854167,0.09965457,0.065471768,11.32444444,12.97319444,10.86,19.065
A4260594,22.52631579,761788.9,9,28,18,174,569,40,4,18,13,0,2.616,133,950,8.085,19.19291667,18.79161361,23.29135196,310.3262634,231.2173462,12.24611111,13.72625,18.34,26.165
A4261024,20.55172414,760329,9,29,18,175,569,40,4,18,13,0,2.61,133,950,8.583333333,18.37083333,18.061921,22.10354167,308.7460938,230.4858398,11.84083333,13.54472222,16.91,25.65
A4261139,15.35260116,51.1,1,239,42,147,593,49,0,0,23,0,7.377,282,950,0.67,14.1,14.38867977,17.8,0.011787564,0.001633479,12.15625,13.69833333,16.51,24.415
A4261173,20.97959184,618.7,3,52,38,146,571,46,0,2,21,3,39.56,288,950,1.4109375,21.769375,21.81776859,23.1246875,0.066122904,0.041131549,14.45305556,14.51375,28.36,30.13
A5011036,21.37953795,110.1,2,154,54,148,747,72,0,47,12,0,3.79,202,950,0.2425,18.40625,17.66834234,19.8140625,0.020808756,0.006678211,13.26416667,14.20444444,20.47,27.01
A5011038,23.06269592,196.1,2,69,52,149,718,70,0,27,10,1,11.246,223,950,0.16,23,22.54487587,24.6,0.037233032,0.019171551,13.50305556,14.40888889,20.69,27.5
Charpassonne Château de Donzy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doise,4.272727273,28.2,1,558,63,97,801,95,0,0,14,0,53.806,886,930,7.05625,13.7,13.76904991,16.88,0.027214665,0.006501594,12.38083333,14.33416667,14.58,22.225
FP06,23.83022774,15.6,1,130,38,93,839,125,0,0,53,0,35.386,317,916,0.025334227,9.6,10.73627457,14.075,0.417443991,0.248226538,11.09083333,13.655,6.99,14.19
FP12,23.24590164,208.4,3,76,45,91,857,130,0,0,46,4,96.731,681,916,11.01917534,8.6,9.011432749,10.175,3.045100212,1.78614819,9.431388889,11.62305556,4.68,8.9
FP15,23.48717949,35.1,2,147,40,89,868,133,0,0,36,0,26.331,442,916,11.08292976,8,8.058391204,10.125,0.512731433,0.304577887,10.30236111,12.53326389,6.05,11.04
FP22,20.94736842,119.4,3,57,38,93,833,124,0,0,51,0,32.681,450,916,5.00584501,11.05,10.71677199,13.95,1.034493804,0.548534989,12.42916667,15.18861111,10.13,17.81
FP23,23.51119403,39.9,1,140,47,92,847,128,0,0,53,0,27.144,483,916,0.129105797,8.625,9.065907671,11,0.978278279,0.561068058,10.28916667,12.73222222,5.85,11.53
FP31,21.4375,88.6,3,143,45,89,871,134,0,0,35,0,33.302,469,916,11.20051415,8.05,8.167470223,9.95,0.419231996,0.261372127,9.963055556,12.278125,5.41,10.6575
PL09,23.71714286,154,2,136,32,92,704,104,0,0,71,0,47.95,524,941,0.098578767,10.075,10.13626531,11.85,1.156521738,0.851762727,12.70958333,15.26548611,10,16.4425
PL17,20.86342593,124.6,2,113,27,95,708,104,0,0,62,2,70.421,790,941,1.804493184,10.25,10.24073774,14.1,1.127559483,0.736786976,12.40555556,15.33548611,9.27,16.0925
PL18,21.10606061,124.6,2,113,27,95,708,104,0,0,62,2,70.421,790,941,0.344767315,9.735,9.926149812,14.045,1.191904426,0.797689736,11.77472222,15.08625,8.26,15.275
PL19,20.8797654,172.2,2,77,26,95,709,103,0,0,58,3,89.658,917,941,6.417103246,10.6,10.82920666,13.7,1.152649462,0.74113059,12.24930556,15.17423611,8.94,15.7775
PL20,20.97767857,124.6,2,113,27,95,708,104,0,0,62,2,70.421,790,941,8.506858514,10.725,10.66265044,12.1,1.097018003,0.722760156,12.63347222,15.39416667,10.17,16.7
Stour_Wixoe,15.25,181.2,2,72,15,92,558,83,0,0,74,6,204.331,1300,906,8.34,11.87,12.03904905,16.48,0.532738477,0.274776861,12.65611111,15.36819444,9.925,16.65
TE05,23.07692308,138.9,2,80,18,88,751,120,0,0,20,2,110.232,765,894,0.318668257,8.9925,9.878468115,13.925,0.303338975,0.138951212,10.38027778,13.90666667,5.58,11.755
TE09,23.47590361,192.4,2,66,16,88,739,118,0,0,21,1,97.222,754,894,0.524109195,8.06625,9.184818954,12.508125,1.512316823,0.741412044,10.52,13.62333333,5.44,10.82
TE20,23.6025641,29.4,2,64,16,87,707,113,0,0,36,0,27.046,529,894,10.42348788,9.45125,9.201476616,11.8225,0.177983403,0.042533437,11.60333333,14.30027778,7.9,13.265
TE22,19.51041667,138.9,2,80,18,88,751,120,0,0,20,2,110.232,765,894,7.559878713,11.19375,10.84949966,13.98,0.303338975,0.111678693,12.86805556,15.65,9.31,15.3
Toranche aval,17.25,89.7,2,405,41,100,778,90,0,1,29,0,55.457,975,930,4.008125,14.345,13.95188299,16.7775,0.121884014,0.025936481,11.66291667,13.76493056,11.78,19.4975
