file_name,total_days,days_with_DO_below_3,n_events,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
212250,751,6,0.798934754,0,100,-33.87124191,150.2540137,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2122518,51,51,100,49,3.921568627,-34.73666667,149.6794444,2,Cropland,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
2122520,144,117,81.25,99,15.38461538,-34.54592,150.33737,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
212270,2070,10,0.483091787,10,0,-34.227667,150.252806,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2122711,1244,463,37.21864952,356,23.11015119,-34.7213892,149.7930558,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2122713,493,468,94.92900609,448,4.273504274,-34.61162,149.88297,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
212274,47,1,2.127659574,0,100,-34.57719481,150.5775536,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2123,413,1,0.242130751,1,0,31.620979,119.021234,1,Natural vegetation,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
212378405,2929,70,2.389894162,1,98.57142857,35.20066667,-80.0618056,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2124,745,38,5.100671141,10,73.68421053,33.626572,114.680083,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2125,531,4,0.753295669,0,100,23.366544,104.253525,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2126,636,15,2.358490566,3,80,41.149403,121.813325,3,Urban,3,Urban,0.666666667,0.333333333,0,0,0,1,TRUE,Urban-dominated
2127,584,44,7.534246575,39,11.36363636,45.90503,126.504213,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
212880025,2885,29,1.005199307,1,96.55172414,34.9834833,-79.8775806,5,Other,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
2129,758,5,0.659630607,4,20,33.686867,114.196677,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2129375,1559,4,0.256574727,0,100,34.8662583,-79.878925,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2131,722,1,0.138504155,1,0,20.009525,110.375224,4,Wetland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
213211,568,172,30.28169014,115,33.13953488,-34.046561,151.005328,1,Natural vegetation,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2134,646,1,0.154798762,1,0,34.183074,108.187798,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
2135,786,6,0.763358779,0,100,35.909376,119.156486,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2135000,3940,1,0.025380711,0,100,34.05675,-79.2477222,1,Natural vegetation,1,Natural vegetation,0,0,0,0.25,0.75,0,FALSE,Natural-dominated
2136,601,1,0.166389351,0,100,38.507579,110.896829,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2138,790,3,0.379746835,2,33.33333333,28.944771,106.741756,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2138520,2157,3,0.139082058,1,66.66666667,35.74125,-81.8352528,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2142,705,3,0.425531915,1,66.66666667,39.918966,119.631456,5,Other,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
214244102,2139,1,0.046750818,0,100,35.75719444,-81.08915,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2144,720,5,0.694444444,3,40,41.879991,120.98351,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
2145,660,66,10,12,81.81818182,25.958516,100.124072,2,Cropland,5,Other,0,0.25,0.5,0,0.25,0.25,FALSE,Mixed
2145910,1624,35,2.155172414,5,85.71428571,35.01641944,-81.00156389,1,Natural vegetation,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
2146,555,3,0.540540541,2,33.33333333,46.934667,133.853376,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2147310,2134,29,1.358950328,13,55.17241379,34.59805556,-80.8905556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
21474095,2233,8,0.358262427,1,87.5,34.55801667,-80.8935,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2147505,2029,16,0.788565796,0,100,34.5411111,-80.8752778,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2148,653,4,0.612557427,0,100,27.840777,102.269485,4,Wetland,1,Natural vegetation,0.333333333,0,0,0,0.666666667,0.333333333,TRUE,Natural-dominated
2149,224,1,0.446428571,0,100,31.50139,117.270311,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2151,678,5,0.737463127,2,60,36.276864,116.117321,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
215207,2298,157,6.83202785,156,0.636942675,-34.81921893,150.1821299,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2152131,566,14,2.473498233,13,7.142857143,-34.7345,150.284944,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
215216,1450,1,0.068965517,1,0,-34.83943446,150.4318317,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
215220,1920,6,0.3125,6,0,-34.72798991,150.5224407,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2152201,396,2,0.505050505,1,50,-34.712767,150.582545,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
215233,44,41,93.18181818,30,26.82926829,-34.60520243,150.5191395,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2159,472,20,4.237288136,6,70,34.749162,110.050793,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
