file_name,median_hours,n_events,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
14151000,1,1,43.94429299,-122.774794,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14152000,NA,0,43.99818166,-122.9059126,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14158100,NA,0,44.09166667,-123.116111,3,Urban,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
14158850,NA,0,44.2679001,-122.0497826,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14159500,NA,0,44.13595817,-122.248391,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
14162200,NA,0,44.16234819,-122.3331192,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14162450,NA,0,44.1233611,-122.3787222,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14162500,NA,0,44.1248487,-122.47062,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14163000,NA,0,44.1460861,-122.5730333,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14163900,NA,0,44.0698492,-122.7711874,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14164550,NA,0,44.07066667,-122.8846667,2,Cropland,1,Natural vegetation,0.25,0.25,0,0,0.5,0.5,TRUE,Natural-dominated
14181500,NA,0,44.75377778,-122.2974444,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14182500,NA,0,44.7915108,-122.5789738,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14183020,NA,0,44.7782222,-122.6777222,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14185000,NA,0,44.39179225,-122.4975817,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14185900,NA,0,44.54012357,-122.4359155,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14186200,NA,0,44.44818005,-122.5503613,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
14187200,NA,0,44.4123468,-122.6886956,1,Natural vegetation,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
14187500,NA,0,44.4984564,-122.8234214,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14202650,8,232,45.44064167,-123.125,2,Cropland,2,Cropland,0,0.75,0,0,0.25,0.75,TRUE,Ag-dominated
14202980,NA,0,45.46927968,-123.200109,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14203500,NA,0,45.4748365,-123.124274,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
14206241,NA,0,45.50011635,-122.9912157,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
14206694,NA,0,45.40150659,-122.8951003,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
14206950,2,27,45.403452,-122.7548185,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
14207200,NA,0,45.35650877,-122.6850937,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
