file_name,total_days,days_with_DO_below_3,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
613,10,10,10,46.7592593,48.7574,11.4261,3,Urban,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
616,10,10,10,34.439834,48.8798,12.7473,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6193,220,6,1,83.33333333,29.821683,113.463833,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6194,706,3,2,33.33333333,30.317805,103.970525,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6195,351,11,0,100,41.741893,83.171831,2,Cropland,5,Other,0,0.25,0.75,0,0,0.25,FALSE,Mixed
6198,381,1,0,100,35.874223,94.566714,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6199,645,1,0,100,35.451425,109.462752,2,Cropland,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6201,582,2,1,50,37.3924,110.631,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6205,459,22,11,50,40.6807,122.2336,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
6214,670,27,9,66.66666667,34.7589,117.0059,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
6218,682,15,3,80,33.4816,118.1131,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6221,583,56,16,71.42857143,33.8744,116.5878,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6223,662,10,2,80,32.7923,117.9642,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
6224,667,24,10,58.33333333,33.1689,118.1492,5,Other,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6225,645,34,12,64.70588235,32.3088,118.4555,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6226,442,59,20,66.10169492,32.0978,118.2887,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6227,674,7,3,57.14285714,32.4286,115.6024,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6233,529,10,1,90,28.7682,116.0853,5,Other,1,Natural vegetation,0.25,0.25,0.25,0,0.25,0.5,TRUE,Mixed
6234,550,3,0,100,29.2455,116.1894,5,Other,5,Other,0,0.25,0.75,0,0,0.25,FALSE,Mixed
6237,558,4,1,75,36.725,116.9886,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6238,653,1,0,100,34.8042,117.1695,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6242,592,77,23,70.12987013,33.8068,116.3924,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6251,657,11,5,54.54545455,29.063,112.2989,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6253,666,38,14,63.15789474,23.1376,113.7508,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6255,663,1,0,100,22.7836,108.1264,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6261,645,5,0,100,30.2604,103.891,3,Urban,2,Cropland,0.25,0.5,0.25,0,0,0.75,TRUE,Ag-dominated
6268,628,91,4,95.6043956,25.1477,102.0548,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6328,689,41,29,29.26829268,31.955,119.9805,3,Urban,3,Urban,0.75,0,0.25,0,0,0.75,TRUE,Urban-dominated
6330,640,1,0,100,26.6586,106.8425,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6343,508,1,0,100,25.427,106.5798,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6346,510,37,8,78.37837838,38.6862,117.047,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
6348,360,1,1,0,36.1678,103.483,3,Urban,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
6350,582,66,16,75.75757576,31.6554,117.2733,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6353,376,40,38,5,49.3061,118.0472,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
6354890,422,53,1,98.11320755,45.9524438,-103.3069613,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6354980,413,112,16,85.71428571,46.0177216,-103.2919615,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
6355,471,1,0,100,28.6074,121.0616,5,Other,1,Natural vegetation,0,0,0.5,0,0.5,0,FALSE,Natural-dominated
6365,464,17,3,82.35294118,40.2585,111.148,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
6373,399,3,0,100,44.3966,127.692,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
6382,458,43,14,67.44186047,28.6919,121.3277,5,Other,5,Other,0,0.333333333,0.666666667,0,0,0.333333333,TRUE,Mixed
6384,479,7,3,57.14285714,31.2695,118.3338,3,Urban,3,Urban,0.5,0.25,0,0.25,0,0.75,TRUE,Urban-dominated
6387,355,6,2,66.66666667,30.7703,117.7527,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
6389,447,1,0,100,31.1034,118.9031,5,Other,5,Other,0,0,0.75,0,0.25,0,FALSE,Mixed
6395,466,6,1,83.33333333,36.2594,120.4698,5,Other,3,Urban,0.5,0,0.25,0,0.25,0.5,TRUE,Urban-dominated
6396,479,61,26,57.37704918,35.0878,116.6297,2,Cropland,4,Wetland,0,0,0,1,0,0,FALSE,Mixed
6398,476,8,0,100,35.0394,116.6677,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6400,402,9,5,44.44444444,35.8937,116.5525,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6419,472,25,18,28,30.6003,115.4457,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
6425,378,159,68,57.2327044,22.5077,114.0357,4,Wetland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6426,473,5,0,100,21.4314,110.7946,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6430,460,227,191,15.85903084,23.0588,113.7525,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6442,468,57,31,45.61403509,29.2443,104.2998,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6448,475,76,22,71.05263158,25.0115,102.6694,3,Urban,3,Urban,0.5,0,0,0.5,0,0.5,TRUE,Urban-dominated
6486,267,4,2,50,21.3002,110.3065,2,Cropland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6489,251,2,1,50,40.8675,108.7942,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
6711565,5854,11,0,100,39.66498738,-105.004149,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6800500,3352,8,3,62.5,41.2933333,-96.2838889,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6801000,983,1,1,0,41.06225556,-96.3245139,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6805000,3209,49,8,83.67346939,41.05166667,-96.3386111,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6805500,3283,5,0,100,41.01497778,-96.1575,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6818000,5079,18,7,61.11111111,39.75325,-94.8568333,3,Urban,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
6819550,478,26,18,30.76923077,40.4311111,-94.7722222,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6856600,2014,1,0,100,39.3555515,-97.1275203,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6879150,512,1,0,100,39.0902755,-96.7133394,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6888990,2040,2,0,100,39.07194435,-95.7163715,3,Urban,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
6889110,962,23,6,73.91304348,39.6095472,-95.9760556,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6889160,1378,5,0,100,39.4631449,-95.9505944,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
6892518,2762,7,1,85.71428571,39.0461111,-94.7894444,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
6892900,282,11,1,90.90909091,39.0440833,-94.6560139,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
