gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
402091282209020_,3,4026.2,5,23,110,92,1669,198,0,71,10,85.59,419,885,9.2,19.8,115.0380363,12.45569444,14.21902778,16.79
402101282209020_,2.685714286,863.6,4,12,103,96,1835,217,0,86,4,71.897,440,885,9.3,18.7,30.42672348,12.32694444,14.15055556,16.89
402111282214070_,2.96,3516.1,5,84,123,96,1596,182,0,68,9,192.352,421,892,9.2,18,85.00365448,12.19444444,13.93770833,16.25
402111282216010_,0.747727273,36.9,2,96,106,102,1744,194,0,97,0,51.457,335,892,9.3,20,103.210434,12.31638889,14.01833333,17.34
403011283322030_,0.54812253,10.7,1,27,10,138,1424,144,0,0,4,560.835,5501,896,11.1,8.7,13.84288025,10.20416667,11.04055556,13.2
403021283322090_,1.178231293,2496.5,5,34,77,113,1528,164,0,52,33,158.276,2602,896,8.4,20.7,25.45155811,12.17777778,13.83256944,18.5625
403031283301050_,2.313834429,9.4,1,20,0,145,1293,122,0,0,5,1266.953,6366,894,7.7,19.9,1.111174822,11.96277778,13.68201389,17.0925
403031283301060_,2.114950807,8931.3,6,15,112,108,1504,164,0,56,15,387.405,2817,888,7.7,21.3,95.2112484,12.21277778,13.821875,17.37
403031283301222_,0.317258852,1265.5,4,17,128,116,1580,169,0,56,19,454.05,2651,900,6.6,25.6,0.867562443,12.78097222,14.05298611,17.4675
403031283302041_,3,12338.6,6,6,100,111,1524,166,0,48,17,443.109,3079,896,10.8,9.6,104.1728134,10.23472222,11.06638889,13.02
403031283302051_,2.980219713,12523.2,6,7,98,111,1521,165,0,47,17,477.12,3126,896,11,9.7,104.2168655,10.15194444,10.94097222,12.395
403031283302091_,1.451827485,37.2,2,11,24,145,1471,157,0,14,50,376.008,3516,893,11,9.125,0.35631822,10.68277778,11.92513889,14.1575
403031283302231_,2.213939322,73.1,2,14,9,148,1364,136,0,0,2,4066.334,7943,893,11.6,12.1,1.065992832,10.45972222,11.49722222,13.7
403031283303010_,1.591891955,262.8,3,11,53,135,1344,132,6,35,23,441.484,4163,896,11.2,11.9,1.595512092,10.34888889,11.47548611,14.1325
403031283303071_,2.592857143,84.4,2,2,8,141,1348,135,23,4,45,396.068,2146,896,10.9,10.7,8.163015604,10.24611111,11.32631944,13.42
403031283303091_,3,21.4,1,0,0,144,1421,148,57,0,41,241.964,1471,896,10.8,9.8,16.40445709,10.34694444,11.305,12.69
403031283303100_,2.2,1459.4,4,3,27,138,1349,134,11,17,35,477.513,3822,896,7.8,23.6,16.46840477,12.11833333,13.83916667,18.38
403031283303160_,2.349408602,12.3,1,36,13,140,1431,149,0,37,85,249.807,3487,896,11,13.4,3.867899776,10.64805556,12.015,15.54
403031283303181_,2.986666667,321.7,3,4,12,140,1400,143,0,6,57,280.245,3474,896,11.1,11.6,4.42092824,10.63277778,12.01875,15.985
403031283303191_,3,5,1,29,22,144,1478,160,0,0,36,718.487,5843,896,10.8,10.5,4.561619759,10.42638889,11.54611111,13.3375
403031283305030_,0.65,9.4,1,11,8,149,1371,136,0,0,0,4267.397,9360,888,7.4,23.8,0.733126283,13.05041667,14.19381944,19.975
403031283305120_,0.238117785,462.7,3,3,2,148,1354,131,0,0,6,2800.095,7015,912,5.4,22.3,5.905864716,11.87194444,13.625,18.205
403031283305140_,0.233552211,634.5,3,4,2,148,1365,133,0,0,4,4039.995,7606,936,4.2,23.8,7.472467184,12.14638889,13.8175,18.545
403031283305470_,0.809568785,79,2,10,8,150,1385,138,0,0,0,6724.524,11213,934,2,26.6,2.312812805,13.80194444,14.45493056,20.3475
403031283306041_,1.062074128,727,3,69,162,101,1720,194,0,74,19,347.685,1649,900,7.9,21.4,6.484699607,12.30805556,13.865625,18.765
403031283307130_,3,602.6,4,25,18,135,1386,135,0,18,49,410.78,4006,896,7.4,22.1,4.606760383,12.23652778,13.87986111,17.5375
