gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
233217,1.636358668,8556.6,5,50,17,131,709,67,0,15,9,1,20.291,218,952,10.433,11.2,12.3333852,13,14.18568611,8.048003674,10.88416667,11.91652778,10.415,14.755
2336120,0.16375,103.4,2,286,20,155,1335,104,0,14,0,100,1492.534,8619,921,7.15,17.65,17.17574468,23.425,1.57320416,0.436128438,12.16305556,13.68305556,16.48,22.1
2336152,0.85763702,28.9,1,314,15,155,1329,103,0,9,0,100,1285.02,8745,921,6.875,17.2,16.76868631,22.55,1.051186919,0.134713899,12.29833333,13.70201389,16.81,22.2075
2336300,0.302777778,232.3,3,276,20,156,1325,103,0,8,0,100,1617.395,9514,921,7.175,17.9,17.49807771,23.925,3.948894739,0.891342103,12.09472222,13.63472222,16.61,22.17
2336313,0.665679089,7.7,1,275,22,159,1313,101,0,0,0,100,551.344,8144,921,6.75,17.45,16.98565532,23.25,4.22758007,1.223575771,12.21416667,13.70847222,16.64,22.19
2336360,0.135208333,95.3,2,282,23,155,1338,104,0,2,0,93,1065.111,7922,921,7.225,17.575,17.04887464,23.4,1.618476629,0.467338309,12.16611111,13.69736111,16.56,22.13
2336526,0.527480553,40.7,2,264,22,159,1311,101,0,0,0,98,1217.095,8547,921,7.4,17.5,16.98122119,23.275,0.748493016,0.065191695,12.18041667,13.69111111,16.61,22.2325
2336728,0.179166667,88,2,254,22,159,1302,100,0,13,0,94,835.134,7287,921,7.625,18.2,17.58216792,23.4,0.951625943,0.111866713,12.19666667,13.71069444,16.77,22.25
23432415,0.555124731,19407.3,5,68,25,166,1354,99,0,79,7,14,148.441,1420,921,5.25,21.025,20.65052364,27.06666667,231.0661316,145.559227,12.03472222,13.48819444,17.17,22.58
2344630,0.624774472,185,3,254,17,161,1310,99,0,57,12,26,196.723,2354,921,6.725,19.03333333,18.69122796,25.5,2.545021653,0.880505055,12.13416667,13.60729167,16.47,22.045
2344673,0.329839631,62.9,1,274,16,162,1301,98,0,89,16,65,495.693,2573,921,6.45,20.425,20.08868499,27.425,0.796906292,0.183165222,12.06194444,13.60166667,16.49,22.03
2357150,1.948290522,1527.8,4,39,6,192,1350,90,7,11,59,0,10.232,230,921,6.5,21.45,20.75409119,23.95,8.672465324,4.474381924,12.27916667,13.65027778,17.15,21.96
