file_name,latitude,longitude
3414,18.272081,109.575045
3407,18.517517,110.0638
3417,18.584272,109.899226
3412,19.108343,110.142541
3416,19.107418,110.517393
3420,19.146787,110.324964
2131,20.009525,110.375224
6434,19.1485,110.5475
6432,18.4351,109.2399
2515,18.436393,109.242338
3409,18.365332,109.16614
3410,18.401897,109.457375
4032,18.307736,109.470361
3418,18.407165,109.757936
3403,18.771022,110.361185
3405,18.899736,110.478603
3402,18.868383,110.446856
3399,20.03468,110.341344
2513,19.624334,110.717366
3411,19.619,110.753577
3406,19.641482,110.90946
3272,38.866844,115.818382
3980,37.860935,115.462705
3292,38.87054,115.76742
3256,39.223947,115.765844
3279,39.083817,113.972268
3290,38.850254,114.835328
3281,39.615082,118.20546
2454,37.211118,115.350472
3978,40.639475,114.967119
3263,38.477117,117.542157
6346,38.6862,117.047
3971,41.935244,117.275885
3965,40.898121,114.94327
3973,40.748003,118.139283
3247,40.616037,117.774843
3974,40.748003,118.139283
3972,40.748003,118.139283
6360,40.619,118.1416
3986,37.823713,115.686356
3968,40.711074,117.443262
3967,40.842139,118.073132
3969,39.437191,116.167531
3266,40.559135,118.381182
3255,40.772528,118.599514
3265,40.420427,117.242605
3250,41.014807,117.961347
3977,40.980027,117.761063
3262,41.673671,117.821479
3982,41.12365,117.970569
3278,36.766382,114.95768
3979,36.951398,114.845351
3970,37.242002,114.365986
3274,36.29222,114.171204
3273,38.041596,115.982251
3267,39.32171,115.254284
6362,37.6493,115.6312
3981,39.743079,116.931147
3288,39.743079,116.931147
2453,38.037057,114.468664
3261,37.905393,116.131193
3259,37.319989,115.091033
3984,38.652577,116.182963
3249,39.953975,116.824239
3966,39.99629,117.088879
3280,38.379485,115.117539
3985,39.740219,116.932708
3976,36.809996,115.245483
3269,39.44595,116.73027
3268,39.44595,116.73027
3248,39.58526,116.535515
3277,39.802411,119.450936
3289,39.898234,118.832748
3983,39.956513,119.793347
3282,39.906055,119.576813
2142,39.918966,119.631456
3283,39.776323,119.421414
3295,39.678461,119.223129
2455,38.3201557,113.9937027
3251,38.358695,113.861347
3276,38.269558,114.17444
2452,37.972436,113.913956
3253,38.065176,114.600669
3270,40.963671,118.664147
3284,39.227626,118.04918
3252,38.879094,115.653094
3271,40.218147,118.304493
3975,39.320799,115.666086
3286,39.750631,118.773574
3258,37.260106,114.778632
3293,37.518685,115.075585
3260,38.037057,114.468664
3294,38.823736,116.024029
3254,38.897404,116.028691
3257,37.513177,116.04779
3264,37.865007,115.813964
3287,38.962979,115.991458
2451,38.325802,116.212332
3291,40.762463,114.879227
3285,40.349608,115.373872
3275,40.68112,114.715335
2450,40.3405825,115.5478498
3994,36.090043,114.595831
3313,36.07964,114.135423
3995,36.223898,113.755761
3992,35.403717,113.944923
4001,35.939563,113.676228
3997,35.511776,114.197142
2463,35.850782,113.931199
3301,35.518042,114.288454
4000,34.9212315,112.4006733
6410,34.9196,112.3992
3304,34.571616,111.478756
4004,34.98639,113.518359
3991,34.673653,114.11387
3339,34.357765,114.467138
3331,34.175108,112.528488
4012,34.721917,112.605462
4015,34.755454,112.153882
4005,34.343022,111.458961
4017,35.601019,113.750164
4011,34.387848,111.119843
2107,34.765515,113.753602
2105,33.58455,113.403169
3297,33.93393,113.949926
3333,33.606101,113.763482
4014,33.669493,114.171639
2129,33.686867,114.196677
3296,33.877112,113.779832
3996,33.013801,112.619984
4008,33.243547,111.024888
6404,33.2666,111.0082
4007,33.085054,111.221863
6405,33.0805,111.2159
2457,32.6736289,111.7090816
3309,32.678301,115.062234
6241,32.669,111.7053
2456,34.765515,113.753602
2156,33.348079,111.90639
2459,33.124041,111.460461
6407,33.0427,111.4756
3990,34.691727,112.318621
4009,33.136314,111.16439
6406,33.1537,111.1579
4003,33.313765,113.234746
3300,34.765515,113.753602
3326,33.722364,113.250862
3998,33.820669,113.581377
3319,34.060856,112.972621
3328,33.27192,113.548952
3318,33.743832,112.761253
3303,32.673099,112.812864
3324,35.700245,115.00289
3302,36.108471,115.06861
3338,34.878877,112.497597
3323,35.590216,114.907187
3329,33.780524,115.264464
4006,34.06456,111.087564
3989,34.827747,111.344163
2171,34.177411,116.471647
6242,33.8068,116.3924
2458,33.8193013,116.3484945
3327,34.765515,113.753602
2192,34.068636,116.25461
3299,35.222893,113.457855
3334,34.765515,113.753602
4002,35.227856,113.870157
3999,34.664817,112.264874
3311,34.765515,113.753602
3310,35.134576,114.605094
2193,32.262114,115.392074
3308,34.899869,113.425778
3307,32.081175,115.421399
4010,32.4378294,115.4118245
3314,32.251659,113.979279
3341,32.272325,114.035868
3322,32.128443,115.051424
3298,32.089061,114.105024
3342,33.308204,113.525593
2460,32.11683,114.05857
3993,32.4623551,115.8383585
3330,32.167866,114.660307
3325,34.345749,113.249318
3312,34.680768,113.56538
3317,34.323191,113.778832
