file_name,total_hours,hypoxia_hours,hypoxia_fraction,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
1576007,39120,0,0,40.01416667,-76.5480556,1,Natural vegetation,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1576045,40944,0,0,39.94194444,-76.50027778,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1576381,7752,0,0,40.2710833,-76.3217222,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
1577500,41016,0,0,39.77260378,-76.3157919,1,Natural vegetation,2,Cropland,0,0.5,0.25,0,0.25,0.5,TRUE,Ag-dominated
1579550,11904,0,0,39.62605556,-76.15775,5,Other,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
1584377,3408,0,0,53.97311,-1.350507,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1594441,4464,0,0,38.9468333,-76.69488889,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
1608500,143088,0,0,39.44703879,-78.6541817,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
163287828,4344,0,0,38.56496944,-78.7155028,1,Natural vegetation,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
1632900,121848,0,0,38.69345016,-78.6427935,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1633000,10416,0,0,38.74567048,-78.6389042,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1634000,10776,0,0,38.9767759,-78.3361152,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1638500,29544,0,0,39.2735833,-77.5431111,5,Other,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1643580,11328,0,0,39.2633972,-77.4357417,2,Cropland,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
1645704,125928,0,0,38.88469518,-77.3324293,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
1645762,108792,0,0,38.90888916,-77.3382627,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
164578734,29400,0,0,38.9296611,-77.34113889,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1646305,102336,0,0,38.95977716,-77.1756743,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
1649190,139656,0,0,39.0333611,-76.96402778,1,Natural vegetation,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1650800,97536,0,0,38.9862222,-77.0048611,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1654000,80928,0,0,38.81289066,-77.2283158,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1654107,25728,0,0,38.8246,-77.2667,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1654670,912,0,0,38.7751822,-77.20324308,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1668000,68520,0,0,38.30846178,-77.52915268,1,Natural vegetation,3,Urban,0.5,0.25,0,0,0.25,0.75,TRUE,Urban-dominated
16701405,12240,0,0,38.139,-78.00673889,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1673000,105840,0,0,37.76764189,-77.3322018,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1674500,12888,0,0,37.88388889,-77.16527778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2035000,106080,0,0,37.67097957,-78.0858328,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
204001,2448,0,0,-29.978146,152.725685,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2041650,13296,0,0,37.2251505,-77.475263,3,Urban,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
205373035,58152,0,0,37.1870833,-80.1519167,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205373075,58464,0,0,37.1913611,-80.1440833,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205373228,60432,0,0,37.1731111,-80.1350833,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205373422,58584,0,0,37.16475,-80.1413611,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205450393,59280,0,0,37.23430556,-80.19975,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205450495,60576,0,0,37.2337222,-80.1967778,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2054550,33528,0,0,37.27818976,-80.105041,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
2054750,20520,0,0,37.27155556,-80.00788889,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
205551460,62280,0,0,37.27794444,-79.9375556,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
205551614,39336,0,0,37.27788889,-79.9093611,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
205696042,57936,0,0,37.05227778,-79.8268333,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
205696095,55920,0,0,37.0558333,-79.8254722,1,Natural vegetation,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
208062765,145176,0,0,36.3311111,-77.58027778,1,Natural vegetation,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
2099,4242,0,0,33.042398,106.264817,2,Cropland,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
2101,3414,0,0,25.032207,106.140539,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
210150,21000,0,0,-32.239117,151.695523,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
2102500,29112,0,0,35.4061111,-78.8133333,3,Urban,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
2103,4830,0,0,30.078912,106.433255,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2104,2562,0,0,44.069265,127.331612,1,Natural vegetation,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
2105,4206,0,0,33.58455,113.403169,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
2109,3624,0,0,41.32954,124.19027,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
