site_id,total_days,hypoxia_day_count,lat_wgs84,lon_wgs84,percent,Class
926002A,54,0,-11.832684,142.421975,0,0
BRA00024,35,1,-11.683611,-61.192222,2.857142857,0
BRA00056,2,0,-11.155278,-43.371389,0,0
927001B,55,0,-11.148949,142.352624,0,0
BRA00022,41,6,-10.7925,-65.347778,14.63414634,1
BRA00059,8,0,-10.638889,-37.698056,0,0
BRA00016,62,5,-9.975,-67.800833,8.064516129,1
BRA00058,58,1,-9.9713889,-37.002778,1.724137931,0
BRA00029,23,0,-9.6391667,-56.014444,0,0
BRA00037,4,0,-9.5638889,-48.381667,0,0
BRA00052,18,0,-9.1544444,-36.035833,0,0
BRA00010,67,0,-9.0666667,-38.3,0,0
BRA00023,42,0,-8.7483333,-63.916944,0,0
BRA00057,12,1,-8.7191667,-39.113611,8.333333333,1
BRA00047,15,7,-8.0847222,-43.805,46.66666667,1
BRA00009,59,12,-8.0166667,-35.05,20.33898305,1
IDN00007,19,0,-7.943611111,110.4111111,0,0
BRA00014,65,1,-7.6330556,-72.661667,1.538461538,0
IDN00019,24,5,-7.351388889,112.6666667,20.83333333,1
BRA00038,2,0,-7.3358333,-47.478889,0,0
IDN00009,89,35,-7.300555556,112.7413889,39.3258427,1
BRA00017,68,1,-7.2580556,-64.7975,1.470588235,0
IDN00006,83,58,-6.986388889,107.5833333,69.87951807,1
IDN00012,47,0,-6.761944444,108.1333333,0,0
IDN00013,47,0,-6.316666667,107.3166667,0,0
IDN00015,31,2,-6.207777778,106.8486111,6.451612903,1
BRA00034,10,7,-6.1872222,-54.083611,70,1
IDN00003,80,56,-6.13,106.8941667,70,1
IDN00002,76,66,-6.085,106.875,86.84210526,1
BRA00030,9,7,-6.0452778,-57.642778,77.77777778,1
BRA00050,66,4,-5.8997222,-38.633056,6.060606061,1
BRA00039,19,1,-5.7894444,-47.468889,5.263157895,1
BRA00048,48,0,-5.135,-42.811111,0,0
BRA00025,62,1,-4.8972222,-60.025278,1.612903226,0
BRA00015,59,2,-4.8391667,-66.850556,3.389830508,0
BRA00031,56,15,-4.2755556,-55.982222,26.78571429,1
BRA00013,6,1,-4.2347222,-69.944722,16.66666667,1
BRA00046,16,1,-4.2194444,-44.765278,6.25,1
BRA00049,64,0,-3.4538889,-42.37,0,0
BRA00044,3,0,-3.4466667,-49.605278,0,0
IDN00011,11,2,-3.316666667,114.55,18.18181818,1
BRA00018,65,3,-3.3105556,-60.609444,4.615384615,0
BRA00035,33,12,-3.2147222,-52.212222,36.36363636,1
BRA00020,2,1,-3.1366667,-60.026944,50,1
KEN00003,3,1,-3.121388889,39.82222222,33.33333333,1
410221,3,1,-3.118669515,39.82708847,33.33333333,1
IDN00021,13,0,-3,104.7502778,0,0
IDN00022,51,1,-3,104.7502778,1.960784314,0
BRA00032,24,0,-2.4136111,-54.737778,0,0
BRA00026,30,0,-1.9191667,-55.513056,0,0
ECU00001,7,0,-1.716666667,-79.99333333,0,0
410224,4,2,-1.202241726,37.1145492,50,1
KEN00006,4,2,-1.199444444,37.11944444,50,1
KEN00039,3,0,-1.0662,34.47095,0,0
KEN00011,1,0,-0.988333333,34.24972222,0,0
KEN00038,2,0,-0.95012,34.20985,0,0
KEN00041,3,0,-0.8988,35.4374,0,0
410223,4,0,-0.797775525,37.26062328,0,0
